WGD,H3K27ac_down,H3K27ac_up,H3K27ac_genebody,H3K27me3_down,H3K27me3_up,H3K27me3_genebody,H3K4me3_down,H3K4me3_up,H3K4me3_genebody,avg_expression,tau,gene_cds_gc,promoter_gc,rec_rate,te_dist,TEGroup_1,TEGroup_2,TEGroup_3,TEGroup_4,TEdenseAvgUp,TEdenseMaxUp,TEdenseAvgDown,TEdenseMaxDown,CG_up_ave,CG_down_ave,CG_body_ave,CHG_up_ave,CHG_down_ave,CHG_body_ave,CHH_up_ave,CHH_down_ave,CHH_body_ave,CG_up_max,CG_down_max,CHG_up_max,CHG_down_max,CHH_up_max,CHH_down_max,summit_fold_enrichment,upstream_distance,downstream_distance,Ka,Ks,omega,location
0,-0.0294022738762243,0.1294504874517358,0.2105766091492936,0.0084623106693952,-0.0033186212770662,-0.0923661750316564,-0.0750449235266814,0.2854784521652472,0.980327129581354,0.8762521797556763,0.6059615439840815,42.92742927429274,40.0,2.18,228,0.0,1.0,0.0,0.0,0.0,0.0,0.6784,1.0,0.00877595,0.5369280999999999,0.0066666688888888,0.0014245051282051,0.2563493071428571,0.0031084666666666,0.0030353675438596,0.1115299426966292,0.0024448114942528,0.111111,1.0,0.0555557,0.694445,0.111111,0.5,4.209,3342.0,43721.0,0.1045,0.3981,0.2624,0.0
0,-0.3209507540944148,-0.1122037856260206,0.0206809105223009,-0.1116431914525607,0.2353704122773885,-0.2464465005798736,-0.4811901189954969,0.0268327259508383,0.0102740535517517,4.479817546072189,0.5183061444663933,46.96969696969697,27.647058823529413,3.86,536,0.0,1.0,0.0,0.0,0.11650000000000002,1.0,0.17830000000000001,1.0,0.0019655614035087,0.3292071111111112,0.0041537857142857,0.0025839860465116,0.301394875,0.0035792058823529,0.0028651922509225,0.0718433219931271,0.0029444238845144,0.0416667,1.0,0.0555557,0.97619,0.111111,0.6,5.71948,8844.0,610.0,0.0501,0.3829,0.1309,1.0
0,-0.1148273760887335,-0.2864208347087782,-0.0538868252578345,-0.0368588421819437,-0.068941233680907,-0.1765862849295916,-0.4943357868026366,-0.4375923623634387,-0.2797059604936914,0.9876158507722144,0.5798500507267469,44.62081128747795,41.76470588235294,3.88,1358,0.0,1.0,0.0,0.0,0.1739,1.0,0.0003,0.06,0.3112724390243903,0.0599853046511627,0.0743937666666666,0.2922616969696969,0.033653834375,0.0,0.0707843321799308,0.0166930976744186,0.001930237037037,1.0,0.872958,0.97619,0.44359,0.6,0.315863,5.71948,2862.0,2996.0,0.0231,0.1966,0.1173,1.0
0,-0.2872748856036781,0.1386512522428999,0.0267421727530391,0.0707640515348108,0.086234593187977,-0.2681251508193945,-0.103994713620491,0.3281562136524419,0.5987640874988669,6.419719415141912,0.1994564955911959,48.24858757062147,42.94117647058823,4.05,520,0.0,1.0,0.0,0.0,0.1655,1.0,0.2697,1.0,0.2887216783018868,0.00074074,0.2240740666666666,0.0759705506024096,0.0134583854545454,0.004879,0.0105615388888888,0.015002044117647,0.0027873843575418,1.0,0.037037,0.866667,0.15,0.244444,0.483333,7.71651,8320.0,43106.0,0.0163,0.3394,0.048,1.0
0,-0.0484270942155023,-0.2081545354929229,-0.0669251698238443,-0.001630052449112,0.0151408721249285,0.0514111543794309,-0.0361592185347328,-0.0892737906662236,0.0020563849484184,1.7679125894332797,0.687830199590788,42.7536231884058,42.35294117647059,4.13,0,0.0,1.0,0.0,0.0,0.085,1.0,0.1275,1.0,0.0035289107142857,0.7279878058823528,0.2688708901639344,0.0018845737704918,0.01916667,0.0709439775700934,0.0026941168091168,0.076911413245033,0.0128378735930735,0.0833333,1.0,0.047619,0.0833333,0.111111,0.555556,4.6751,13765.0,28185.0,0.1041,0.3573,0.2913,1.0
0,-0.1961938850224912,-0.2876925084778597,-0.1770347589293952,0.1224391827580534,0.1116781772376628,0.336331359401372,-0.179704055088517,-0.0991428397088427,-0.2443697123408016,0.1781280218438249,1.0,48.04469273743017,36.47058823529412,4.18,618,0.0,1.0,0.0,0.0,0.158,1.0,0.66425,1.0,0.00095238,0.2109957777777777,0.0037393134615384,0.019559834,0.046898135,0.0005482460526315,0.1290956873333333,0.0149731021276595,0.0031599524429967,0.047619,0.972222,0.786325,0.822222,1.0,0.825758,4.6751,2124.0,49490.0,0.0567,0.276,0.2053,1.0
0,-0.3097971914985299,0.5234725527465847,0.2716715336895206,0.1763216964001597,0.0162290986862246,-0.4670934024129415,-0.1249642372747962,0.1687655450373724,0.4400123141447041,2.5006671980032684,0.5533847595016178,44.96124031007752,41.17647058823529,4.2,4330,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074696470588235,0.0051033581395348,0.0,0.0,0.0,0.0104166625,0.0051031931297709,0.0036818784999999,0.008333335,0.333333,0.111111,0.0,0.0,0.111111,0.0972223,16.0289,957.0,21126.0,0.0496,0.6443,0.077,1.0
0,0.5559928298693212,-0.1505694865537394,0.9699282499066268,-0.1826441047793598,0.2851104133957149,-0.0656287291548493,0.3236405449340879,-0.0183412529100442,0.919522970735952,7.453509212017211,0.1180556684117157,51.37254901960784,40.588235294117645,4.27,207,0.0,0.0,0.0,1.0,0.08295,1.0,0.0,0.0,0.0944444566666666,0.00536616875,0.0,0.0177579285714285,0.0087301533333333,0.0,0.0072510776223776,0.0037974683544303,0.0,1.0,0.0555557,0.111111,0.0833333,0.111111,0.0833333,5.34297,81.0,836.0,0.0506,0.6158,0.0822,1.0
0,0.368295080404772,-0.215522218475689,0.0914795398460851,0.0727901712710302,0.3542375127244673,0.4991288019746681,0.5933421842683176,-0.3529318764383231,-0.3045749116797324,1.4140121220717314,0.9675709381281008,45.60570071258908,25.882352941176475,4.28,989,0.0,0.0,0.0,1.0,0.24550000000000005,1.0,0.083,1.0,0.2610435680851064,0.0,0.427536247826087,0.0802794717391304,0.0114583333333333,0.2252777,0.0554252367647058,0.002761513114754,0.0306620024390243,1.0,0.0,0.916667,0.0833333,0.851852,0.0833333,5.34297,107293.0,1277.0,0.1209,0.4946,0.2445,1.0
0,-0.0999174218280027,0.1106494251905945,0.2527942430700531,0.1955661645311116,0.0194906720852156,0.0635735616284967,0.0471750549014287,-0.0948129796287168,0.3609397300496861,2.6919879883097053,0.7443032921478709,48.23848238482385,26.47058823529412,4.4,714,0.0,0.0,0.0,1.0,0.0,0.0,0.163,1.0,0.0,0.1322343961538461,0.0,0.0022569458333333,0.054786678125,0.0,0.0028236579335793,0.0092271878787878,0.0,0.0,0.722222,0.0666667,0.833333,0.111111,0.433333,5.34297,65057.0,44671.0,0.1039,0.3279,0.3168,1.0
0,0.0135978500670524,0.1223343015113764,-0.1670996327884148,0.1245840247997021,0.1113262684631976,-0.0584706052638085,-0.1330729516435172,0.477349835374298,-0.0904068670802573,0.4854807244205953,0.794507761411402,44.86215538847117,28.235294117647054,4.63,9476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0014184404255319,0.0057347774193548,0.0,0.0035639452830188,0.0199233896551724,0.0037037020833333,0.0040520894366197,0.0067647835820895,0.0020983648809523,0.0666667,0.0666667,0.0666667,0.327778,0.138889,0.111111,5.67691,5449.0,8660.0,0.1125,0.4228,0.2661,1.0
0,-0.2703883414366326,-0.1305926396916372,-0.0393164197762568,0.0221498845918496,0.0292020471504443,-0.3033445931806217,-0.2559928891377113,-0.0012306139650841,0.0412907342363948,4.499671572157693,0.0527630356426507,45.30516431924882,54.11764705882353,4.64,1738,0.0,0.0,0.0,1.0,0.0,0.0,0.0935,1.0,0.8319445,0.0024691333333333,0.8052381000000001,0.05291,0.004,0.3284871363636363,0.0402729292682926,0.0038064864864864,0.0396929644736842,1.0,0.037037,0.111111,0.0666667,0.305556,0.111111,4.75563,11475.0,922.0,0.0025,0.415,0.0061,1.0
0,-0.0914653836335706,0.0912218636624414,-0.0682437769096244,-0.1912755211085359,-0.0298640437295248,-0.1177006482666981,-0.2059457965782131,0.1307252223594925,-0.1493387374292192,2.269469229556257,0.2827536430037434,44.95484884177464,31.76470588235294,4.75,727,0.0,1.0,0.0,0.0,0.1592,1.0,0.0,0.0,0.15,0.0,0.2350455638888888,0.0102339105263157,0.0049004825396825,0.005828375,0.0661936828282828,0.0034787371212121,0.003313279032258,0.75,0.0,0.111111,0.0833333,1.0,0.111111,7.56578,15316.0,22996.0,0.0819,0.5384,0.152,1.0
