WGD,H3K27ac_down,H3K27ac_up,H3K27ac_genebody,H3K27me3_down,H3K27me3_up,H3K27me3_genebody,H3K4me3_down,H3K4me3_up,H3K4me3_genebody,avg_expression,tau,gene_cds_gc,promoter_gc,rec_rate,te_dist,TEGroup_1,TEGroup_2,TEGroup_3,TEGroup_4,TEdenseAvgUp,TEdenseMaxUp,TEdenseAvgDown,TEdenseMaxDown,CG_up_ave,CG_down_ave,CG_body_ave,CHG_up_ave,CHG_down_ave,CHG_body_ave,CHH_up_ave,CHH_down_ave,CHH_body_ave,CG_up_max,CG_down_max,CHG_up_max,CHG_down_max,CHH_up_max,CHH_down_max,summit_fold_enrichment,upstream_distance,downstream_distance,Ka,Ks,omega,location
0,0.4839413964121558,0.119412895161614,1.483762218560398,-0.3008228129563547,-0.0802861585359505,-0.1215482517820937,0.6353762490719571,0.0653962104052896,2.165462790541417,3.842553909988221,0.5080086630914418,52.18068535825545,43.52941176470589,0.57,2185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052631578947368,0.0,0.006734,0.0837742222222222,0.0,0.0042625954954954,0.0061644999999999,0.005291,0.0,0.0666667,0.111111,0.422222,0.111111,0.138889,3.45864,245.0,11270.0,0.0473,1.0022,0.0472,0.0
0,-0.3160953273287458,0.1874881270309724,0.3888659077972713,-0.1106108072905628,-0.0559372243056919,-0.17666437416928,-0.2406774516624318,0.2545575763372639,0.7092338037922026,4.101953597442714,0.131544511950391,47.20357941834452,45.88235294117647,0.44,690,0.0,0.0,0.0,1.0,0.3668999999999999,1.0,0.0,0.0,0.0987654444444444,0.0,0.28916673,0.10101,0.0061728555555555,0.0,0.0323680648648648,0.0059451628571428,0.0039548016949152,0.888889,0.0,0.555555,0.0555557,0.333333,0.111111,4.23665,463.0,12676.0,0.1262,0.4465,0.2825,0.0
0,0.0178355563216003,0.1654039246404854,0.06569074017731,-0.236312406385397,-0.120984988136813,-0.5029871227330739,-0.1945967577976346,0.214934510373481,0.2404311751777934,4.73496277740092,0.1473175594132508,49.20224234583873,42.94117647058823,3.07,723,0.0,0.0,1.0,0.0,0.5892000000000001,1.0,0.21,1.0,0.2774853684210526,0.0,0.0017921193548387,0.1111110499999999,0.0,0.0023640638297872,0.0320856464646464,0.0037414942857142,0.0029813279792746,1.0,0.0,0.361111,0.0,0.311111,0.0833333,4.91051,33955.0,458.0,0.0574,0.3969,0.1445,0.0
0,-0.3135673414405671,-0.4592263732361907,-0.4303524353800917,-0.3682018773722638,0.0010950645120184,-0.1247888600547804,-0.5871676922093523,-0.3734293928681307,-0.6373106360168135,0.453421851838891,0.967375060295202,44.2080378250591,38.23529411764706,2.96,829,0.0,0.0,1.0,0.0,0.19659999999999997,1.0,0.2082,1.0,0.2591087586206896,0.2838235294117647,0.1277659298507462,0.0724654419354838,0.0,0.0020874318181818,0.0130461542735042,0.0039402841409691,0.0033177855098389,1.0,1.0,0.704762,0.0,0.27619,0.222222,6.68519,3966.0,4574.0,0.029,0.3534,0.082,0.0
0,-0.1000309999290028,-0.0783834483057112,0.5152739227132295,0.297836361990321,-0.0500681521142284,-0.2542823161986333,-0.1724183711434026,-0.0210146195440377,0.3230036579867267,3.848476824158938,0.3885820389412145,43.62912400455063,35.88235294117647,1.28,615,0.0,1.0,0.0,0.0,0.40549999999999997,1.0,0.1935,1.0,0.3320025905660377,0.33534225,0.0858245,0.08427674,0.0683179806451613,0.0012077289855072,0.0115343882154882,0.0142418875739645,0.0028306171581769,1.0,1.0,0.671429,0.575662,0.315656,0.236111,5.61201,114609.0,97587.0,0.0434,0.3901,0.1113,0.0
0,0.1410021063410786,0.09686728867466,0.1575040918422343,-0.4041427277701322,-0.2606493265273993,-0.2852739541455,-0.0287032372621605,0.132302095431691,-0.4308181153042659,2.43606797079748,0.2447261477655456,46.218842416561046,36.47058823529412,10.32,1284,0.0,0.0,0.0,1.0,0.1375,1.0,0.0,0.0,0.0,0.1459258666666666,0.0326087260869565,0.0,0.0,0.0034188051282051,0.0034722229166666,0.0030689712230215,0.0014719353383458,0.0,0.933333,0.0,0.0,0.111111,0.111111,3.81299,10854.0,8609.0,0.0884,0.4478,0.1974,0.0
0,-0.3478709711693716,-0.5797356817780907,-0.0266744106806725,-0.1609015527228827,-0.2081800813943527,0.2660878822669085,-0.4317604717983957,-0.3606641004048471,-0.2105127216365179,3.1157467486364587,0.5148107634983669,46.82713347921225,35.294117647058826,10.27,0,0.0,1.0,0.0,0.0,0.4719,1.0,0.60345,1.0,0.4941454034482758,0.796712035714286,0.0127084904761904,0.1590491292682927,0.1378042449999999,0.0049359563909774,0.0188315996153846,0.0293454148571428,0.0029315606976744,1.0,1.0,0.866667,0.833333,0.277778,0.616667,4.6751,46065.0,763.0,0.0804,0.4081,0.1971,0.0
0,-0.3375816304714409,-0.3563891910846546,-0.0501765766142874,0.3004429958682198,0.2181687899560259,0.4278143605898409,-0.2789186024344562,-0.3167228223970941,-0.0828176141965409,1.734305898242413,0.3128030329794439,45.336679213718114,40.0,3.51,618,0.0,1.0,0.0,0.0,0.33169999999999994,1.0,0.4313499999999999,1.0,0.6256376153846153,0.4959833157894736,0.0327549152542372,0.14379102,0.2898809833333333,0.0076958114754098,0.0204236445783132,0.0254552350253807,0.0042479590277777,1.0,1.0,0.644445,0.884259,0.511111,0.538624,4.54561,431.0,5048.0,0.0735,0.3677,0.1999,0.0
0,-0.1827988248143221,0.0085906210690438,1.1160897122796558,0.070955319938539,0.1415090673681861,0.4552713709741359,-0.377960413249115,-0.0966935406755594,1.0745936507476848,6.727927338981024,0.207706863925691,49.92025518341308,31.76470588235294,3.39,505,0.0,1.0,0.0,0.0,0.46575000000000005,1.0,0.26115,1.0,0.0294283608695652,0.1610588947368421,0.0203703533333333,0.0046913533333333,0.0308318733333333,0.0,0.0079295058823529,0.027642574778761,0.0034722208333333,0.518519,0.952381,0.037037,0.666667,0.311111,0.411111,5.61201,2.0,115.0,0.0738,0.3004,0.2457,0.0
0,-0.2253044931190007,-0.132976589120761,-0.3659719171818195,0.2373118982908713,0.140751095580851,0.6371736967075445,-0.0535410960323335,-0.3286928892720009,-0.2116604829873454,0.7695033335637487,0.7724963044440956,42.35294117647059,32.35294117647059,3.21,792,0.0,1.0,0.0,0.0,0.29145,1.0,0.19235,1.0,0.340571334375,0.0,0.004387975,0.0410000279999999,0.0,0.0069345893617021,0.0089320835748792,0.0045231347457627,0.0029720747747747,1.0,0.0,0.25,0.0,0.22619,0.111111,4.05163,33688.0,14662.0,0.0571,0.4249,0.1345,0.0
