location,GC_genic,GC_prom,avg_expression,tau,Ka,Ks,O,acr_Lup,acr_Ldown,acr_S,recomb,CHH_up_avg,CHH_down_avg,CHH_body_avg,CHG_up_avg,CHG_down_avg,CHG_body_avg,CG_up_avg,CG_down_avg,CG_body_avg,CHH_up_max,CHH_down_max,CHG_up_max,CHG_down_max,CG_up_max,CG_down_max,TEdist,TEdenseAvgUp,TEdenseAvgDown,TEdenseMaxUp,TEdenseMaxDown,TE1,TE2,TE3,TE4,H2AZ_down,H3K4me1_down,H3K4me3_down,H3K9ac_down,H3K27ac_down,H3K27me3_down,H3K36me3_down,H3K56ac_down,H2AZ_genebody,H3K4me1_genebody,H3K4me3_genebody,H3K9ac_genebody,H3K27ac_genebody,H3K27me3_genebody,H3K36me3_genebody,H3K56ac_genebody,H2AZ_up,H3K4me1_up,H3K4me3_up,H3K9ac_up,H3K27ac_up,H3K27me3_up,H3K36me3_up,H3K56ac_up,WGD
0.0,0.439782,0.735294,3.798447925371702,0.321073738394209,0.1676,0.1969,0.8515,1345488.0,947155.0,9.10026,0.1,0.015,0.04,0.01,0.91,0.72,0.56,0.935,0.8400000000000001,0.85,0.24995,0.4022,1.0,1.0,1.0,1.0,0,0.3185,0.474,1.0,1.0,1.0,0.0,0.0,0.0,-0.0517935342345555,-0.0651223288889085,-0.0101034770701337,-0.0297559565149232,-0.0681090721459123,-0.0143156010478656,-0.0794940117196889,-0.0493847819004396,-0.2586226631185305,1.7455632755025252,0.0956208337390218,0.0154579412780102,-0.229560466851131,-0.0410056930342458,1.920951011887693,-0.1870476545110426,-0.060137405856333,0.7342406559062697,0.029232117048211,0.0195516642289816,-0.0673529226375659,0.0121253152251946,0.9821566604531146,-0.0359760006747449,0
0.0,0.611879,0.71,1.3590361437456862,0.4224888773286852,0.0216,0.1932,0.1117,247.0,103586.0,10.0194,-0.03,0.015,0.025,0.0,0.5549999999999999,0.69,0.0,0.865,0.8200000000000001,0.0,0.20829999999999999,0.36575,0.94445,1.0,1.0,1.0,0,0.5941000000000001,0.9675,1.0,1.0,1.0,0.0,0.0,0.0,-0.0040651555541831,-0.0044355884362845,-0.0017751708220584,-0.0035582769546117,-0.0027906995677853,-0.0010402389161792,-0.011545443493314,-0.0038530878200422,0.3005807304665027,0.2596590754573052,0.8785439350881088,0.2366098359753715,0.5620491220582283,0.0354226462538564,0.4345019422940244,0.6269662959604763,0.0057200566043387,-0.060679458545988,0.0435725507683621,0.0182718980281833,0.1381110193551071,-0.0123398081869209,-0.0451169143741445,0.1679110184266212,0
0.0,0.44729,0.58,2.873610499064332,0.2383221186956577,0.0333,0.1491,0.2236,85.0,201949.0,10.5316,0.12,0.125,0.035,0.0,0.585,0.81,0.01,0.785,0.9199999999999999,0.725,0.7222500000000001,0.28335,1.0,1.0,1.0,1.0,6644,0.40519999999999995,0.1705,1.0,1.0,1.0,0.0,0.0,0.0,-0.0899660609484198,-0.115034500766296,-0.115469554825304,-0.0759207110439564,-0.1056274290365918,-0.0703033900316048,-0.1215521788120063,-0.1226320585569601,-0.1899260710987377,1.4208814536605203,0.2178019069930548,-0.0119284504690736,0.1661748566138254,-0.0327343642512053,1.9407627411209096,-0.0418999076971544,0.3702085269357504,0.0876782079233581,0.2723852864033046,0.0641764857448371,0.1450491209705091,0.2733784187365222,-0.0937808795762588,0.0608120137621157,0
0.0,0.640039,0.51,0.3846481277059386,0.9886184971174772,0.1581,1.4985,0.1055,391741.0,24076.0,11.5034,0.18,0.05,0.045,0.105,0.6,0.66,0.235,0.87,0.715,0.25,0.3486,0.5373,1.0,1.0,1.0,1.0,0,0.6555,0.06699999999999999,1.0,1.0,0.0,0.0,1.0,0.0,-0.1199815667697249,-0.127399456589243,-0.119843043573248,-0.0717739522907464,-0.1321505336340834,-0.0428177812235291,-0.1519308133991226,-0.0919448721074187,0.6064789719726186,0.0675911199535683,0.058804412221706,0.113908963253361,0.1437369227957859,0.9015826224590004,-0.0818585087263884,0.0795745645706931,0.1791531222631519,0.0206579030176479,0.0026010028590761,0.0178940105658894,0.040404040749777,0.6391173265265894,-0.0391602301498437,0.0089540428434843,0
0.0,0.457351,0.39,3.888008371779941,0.1368977432053371,0.0377,0.1267,0.2972,46.0,1099223.0,7.66892,0.18,0.04,0.005,0.01,0.765,0.52,0.345,0.84,0.725,0.805,0.29164999999999996,0.14545,1.0,0.95455,1.0,1.0,1027,0.1735000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0271536405069554,-0.0672109579731857,-0.0622656929572144,-0.0118788837609821,-0.0726343486798128,-0.0354178288032584,-0.0986462601990245,-0.0519309515889945,-0.2123649773236924,1.6368532656312147,0.3535082898621685,0.0678656685230191,0.0171377225402201,-0.0293368555897359,2.0647599674243304,-0.0150050811863029,-0.0690257638496191,-0.073943796496876,-0.0125281604859963,-0.0105298277889674,-0.0007379496646406,-0.0247923646688909,-0.0850997890422232,-0.0296431159495943,0
0.0,0.643827,0.53,2.0038652148852822,0.5750758881345633,0.0435,0.4494,0.0969,99633.0,125788.0,13.9065,0.22,0.06,0.01,0.045,0.605,0.69,0.235,0.8049999999999999,0.865,0.23,0.5301499999999999,0.1111,1.0,1.0,1.0,1.0,0,0.7668,0.256,1.0,1.0,0.0,1.0,0.0,0.0,-0.0784590737421677,-0.0944227788490374,-0.0888111805981735,-0.0126898979229686,-0.077097401896467,0.0896123963120212,-0.1216798140751126,-0.0801249856887587,0.6485740362739183,0.0603671879960713,0.0990277017617638,0.0366649376967074,0.1619078134130437,0.780270841272869,-0.1203280543288763,0.0492837046894934,0.0488303952858119,-0.0928435749941666,-0.0745372933850293,-0.0611196854006566,-0.0273947099054305,0.050636900558694,-0.1274754709301168,-0.0774718373750527,0
0.0,0.482759,0.62,5.830407279410708,0.137512601460314,0.0442,0.1064,0.4157,121.0,135834.0,24.3855,0.25,0.05,0.01,0.0,0.5349999999999999,0.87,0.05,0.7150000000000001,0.95,0.435,0.39235,0.1597,1.0,1.0,1.0,1.0,229,0.262,0.8665,1.0,1.0,0.0,0.0,1.0,0.0,-0.0430345702463573,0.7290098935469012,0.0418977287477248,0.0132364940753934,-0.0566479814274157,-0.0220538944978577,0.7946135529113248,-0.0488160141977173,0.01161794398947,0.4062292609692936,0.9002174239029657,0.3140524438310024,0.6241367947213085,0.0076226019758388,1.175045876933977,0.5619521224849737,0.2568279260960679,0.0312817704929595,0.0583286528962646,-0.0036966440637589,-0.0147782333063721,0.4141856267070093,-0.087677948425502,0.0036758591984363,0
0.0,0.47813,0.57,4.740505851853858,0.2094691915398353,0.0164,0.0724,0.2261,260.0,348362.0,6.69714,0.26,0.09,0.015,0.0,0.78,0.795,0.0,0.915,0.86,0.495,0.62915,0.1252,1.0,1.0,1.0,1.0,49,0.993,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.1272695996320961,-0.1146799153529803,-0.1049553165035157,-0.0884998704770004,-0.096182429308217,-0.0486751901702246,-0.1291518544283322,-0.0942053414236454,-0.0553103089974644,0.6154470173382843,0.4934617176426972,0.2466277629981703,0.4299267918114622,-0.0250190067972151,1.1829864200011555,0.3244030062656803,-0.0228933357473439,-0.0284784891352898,-0.0162700840565614,-0.0232082536336001,-0.006790198143544,-0.0130199127104977,-0.0256822077576886,-0.0191350823280791,0
0.0,0.494048,0.47,3.001369846726519,0.2107629623598351,0.0254,0.1611,0.1579,237496.0,705191.0,8.6407,0.27,0.04,0.03,0.01,0.71,0.5800000000000001,0.03,0.85,0.71,0.765,0.5198499999999999,0.283,1.0,1.0,1.0,1.0,0,0.17350000000000002,0.5140000000000002,1.0,1.0,1.0,0.0,0.0,0.0,-0.045039952314959,-0.0771779215970633,-0.0889532112927388,-0.0537180963906425,0.0168190101891451,-0.0525806523832072,-0.0920957428352117,-0.0530649171483028,-0.0306317394471008,1.0114007239942275,0.2795279153134447,0.0193454586235986,0.159900575191057,-0.030027571023987,1.4840776207860191,0.0151457419687835,-0.0361762330912541,-0.092829571286609,-0.0650620862228038,-0.0510392166942929,0.0078654206409016,-0.0405793029565552,-0.0991601761299753,-0.0370753722481354,0
0.0,0.438861,0.58,5.080544979727256,0.2247309092685069,0.045,0.1097,0.4098,15.0,198340.0,29.2444,0.28,0.06,0.0,0.0,0.31,0.04,0.0,0.42000000000000004,0.38,0.605,0.56575,0.0761,0.95835,0.525,1.0,1.0,2055,0.0046,0.0,0.38,0.0,0.0,0.0,1.0,0.0,0.3304570292929197,0.436086505332374,0.1544703999113486,0.1494122497682705,0.4147037333340791,-0.0018896153929273,0.519872851160486,0.1717700861668553,-0.0804350069645016,0.7161417982220757,0.6747321668965461,0.4117943837151465,0.670887204090267,-0.0242096415736196,1.371883324062734,0.3119323337680995,0.3884327284595706,-0.03580759380561,-0.0027735441294107,0.0963797728106534,0.203791837636959,0.2683899298554822,-0.0848967034043589,0.066361988592965,0
0.0,0.458237,0.61,1.8317358122900285,0.5264139968812025,0.0432,0.1331,0.325,134.0,196656.0,16.3096,0.29,0.015,0.035,0.01,0.6950000000000001,0.46499999999999997,0.0,0.7649999999999999,0.565,0.56,0.22085,0.3333,1.0,1.0,1.0,1.0,848,0.418,0.4863,1.0,1.0,1.0,0.0,0.0,0.0,-0.0458064920334713,-0.0768013174620775,-0.0818449706297534,-0.0581060860577687,-0.0619616082378462,-0.0197121023083415,-0.0955252810773144,-0.087800118066883,0.0412431884475695,0.7942276179244314,0.630347878557519,0.3381096957585657,0.6504523295846443,0.0358037988312232,1.241550400522739,0.3359392835318048,0.0641347805889115,-0.0983435291804187,-0.0892729686439229,0.0259980328575624,0.1599602954051165,-0.043538446349398,-0.1126367510759089,-0.0103618202564446,0
0.0,0.667549,0.62,2.2994730118318425,0.6417684752252136,0.0622,0.2599,0.2391,271854.0,153171.0,10.9912,0.3,0.015,0.02,0.01,0.32999999999999996,0.65,0.01,0.49,0.735,0.02,0.15275,0.16455,1.0,1.0,1.0,1.0,0,0.039999999999999994,0.16190000000000002,0.8,1.0,1.0,0.0,0.0,0.0,0.1431611520823606,0.0179317340946865,0.11959581174608,-0.0442141288813867,-0.0126156837246304,-0.0593927702854166,-0.091337180109588,-0.0362919203535707,0.5936730463953476,0.0460949537262264,1.085273263543288,0.0754520382091609,0.2450631493665673,0.0125170079471394,0.1322869158700554,0.1764568679036397,0.6113186965819896,0.2048245336311385,0.3805609431016986,0.0885555610929454,0.4379704378634196,0.0429650767105824,-0.0370039263724582,0.3308263258165284,0
0.0,0.5256,0.65,3.2732695117524497,0.4309143119577004,0.0407,0.157,0.2593,425.0,1582.0,9.10026,0.31,0.01,0.07500000000000001,0.0,0.705,0.185,0.01,0.785,0.375,0.41500000000000004,0.19445,0.35205,1.0,0.76835,1.0,1.0,7352,0.13099999999999998,0.16799999999999998,1.0,1.0,0.0,0.0,1.0,0.0,0.2870113715626994,-0.0572737508975085,-0.0986511480515574,0.0622498208595572,0.2139456594091962,-0.0034045105782447,-0.1412462645753814,0.0356319410921439,0.23273216345649,0.5051133887483592,0.8120552834415173,0.4399223371080069,0.8667303170913924,-0.0053397628498846,0.8039155554262007,0.5822622034363779,-0.0054872146229377,-0.084285507417041,-0.0905673720403029,-0.0212828245913954,0.01748484742744,-0.0156527982453723,-0.1119394641713361,-0.0553298904665447,0
0.0,0.601449,0.56,4.472776965725979,0.2246478925938639,0.0278,0.2388,0.1166,164.0,134217.0,14.8256,0.34,0.015,0.025,0.0,0.13,0.41000000000000003,0.0,0.165,0.66,0.0,0.3229,0.32715,0.9375,1.0,1.0,1.0,1596,0.088,0.09649999999999997,1.0,1.0,1.0,0.0,0.0,0.0,0.06548502518827,0.2995823212046637,-0.0567656257344298,-0.1001028722939652,-0.0289946246071695,-0.1290368326775294,0.1447676698406638,-0.0623144798883299,0.4268134994514819,0.1381538757461239,0.8562549820609778,0.4851697736920115,1.16561666960822,-0.0299178678299306,0.5153392772043816,1.4155018063766325,0.2194723918538727,0.1917324218130847,0.8302767821179939,0.4982448944430621,0.9173079732346564,0.0636015739288297,0.7930734834505218,0.7982830620015102,0
0.0,0.345912,0.317647,0.0,,0.0987,0.2401,0.4113,827939.0,167918.0,17.741,0.57,0.02,0.01,0.0,0.585,0.095,0.0,0.87,0.335,0.365,0.26425,0.14579999999999999,1.0,1.0,1.0,1.0,0,0.5965,0.0016499999999999998,1.0,0.21,1.0,0.0,0.0,0.0,0.3761500407417736,-0.0264240408315419,-0.1200254880872584,-0.0320650888478334,0.1179299127279348,0.0766897151067072,-0.1434733739398256,0.0374500473593478,0.3167841325711281,-0.0071850126641478,-0.1213580539400719,-0.0165794390709068,0.0412900181432523,0.1735725327284466,-0.1115540464651017,-0.0492086297572728,0.000405405183717,-0.0538703555950997,-0.0591719092586305,-0.0373414910868366,-0.0131323035658427,0.0365176671143375,-0.0875681135091711,-0.0384358686628585,0
