gene_id,WGD,group,H3K27ac_down,H3K27ac_up,H3K27ac_genebody,H3K27me3_down,H3K27me3_up,H3K27me3_genebody,H3K4me3_down,H3K4me3_up,H3K4me3_genebody,avg_expression,tau,gene_cds_gc,promoter_gc,rec_rate,te_dist,TEGroup_1,TEGroup_2,TEGroup_3,TEGroup_4,TEdenseAvgUp,TEdenseMaxUp,TEdenseAvgDown,TEdenseMaxDown,CG_up_ave,CG_down_ave,CG_body_ave,CHG_up_ave,CHG_down_ave,CHG_body_ave,CHH_up_ave,CHH_down_ave,CHH_body_ave,CG_up_max,CG_down_max,CHG_up_max,CHG_down_max,CHH_up_max,CHH_down_max,summit_fold_enrichment,upstream_distance,downstream_distance,Ka,Ks,omega,location
Bra033257,0,IV,-0.0294022738762243,0.1294504874517358,0.2105766091492936,0.0084623106693952,-0.0033186212770662,-0.0923661750316564,-0.0750449235266814,0.2854784521652472,0.980327129581354,0.8762521797556763,0.6059615439840815,42.92742927429274,40.0,2.18,228,0.0,1.0,0.0,0.0,0.0,0.0,0.6784,1.0,0.00877595,0.5369280999999999,0.0066666688888888,0.0014245051282051,0.2563493071428571,0.0031084666666666,0.0030353675438596,0.1115299426966292,0.0024448114942528,0.111111,1.0,0.0555557,0.694445,0.111111,0.5,4.209,3342.0,43721.0,0.1045,0.3981,0.2624,0.0
Bra032354,0,IV,-0.1459811677627456,-0.2402315409167138,0.1944165264289775,0.124286428299329,0.0923374848041146,-0.4653847687011262,-0.06644635926699,-0.3983300852190848,0.3886760793898857,1.315101201274095,0.8786570438327548,47.66081871345029,32.94117647058823,3.12,267,0.0,1.0,0.0,0.0,0.29485000000000006,1.0,0.11350000000000002,1.0,0.7403905969696971,0.1144620904761904,0.0013071901960784,0.2815629524999999,0.036142856,0.0094812928571428,0.0456698159259258,0.012693876,0.0041980943319838,1.0,1.0,0.738095,0.3,0.933618,1.0,3.89097,190.0,76659.0,0.1098,0.4131,0.2659,0.0
Bra032355,0,IV,-0.3406680970603964,-0.0909086226756611,-0.0687299537017913,-0.104699453148377,-0.1177632230397638,-0.0594844432772657,-0.2953089280374385,0.0812967583997219,-0.1646233619663316,0.2459188321289431,0.976312801394481,47.4036850921273,29.411764705882355,3.12,301,0.0,1.0,0.0,0.0,0.11345000000000001,1.0,0.0,0.0,0.1639350465116279,0.00148809375,0.0033730145833333,0.0323481103448275,0.0025720194444444,0.0066666699999999,0.0103961583629893,0.001410116744186,0.0008960569892473,1.0,0.047619,0.3,0.0555557,1.0,0.116667,3.89097,2466.0,74604.0,0.064,0.4119,0.1554,0.0
Bra032357,0,IV,-0.2550579005600814,-0.1940244786952658,-0.2453654085092288,0.5267236248280135,0.1930635365313931,0.3172515770907769,-0.2512930887096332,-0.2461909450972452,-0.3749568378996282,1.694450268856035,0.5406369038018051,45.822339489885664,37.05882352941177,3.12,31,0.0,1.0,0.0,0.0,0.35294999999999993,1.0,0.10114999999999999,1.0,0.6675492647058824,0.0042866907407407,0.0,0.2186450374999999,0.0,0.0010288074074074,0.0411248032544378,0.0031917335793357,0.0038093820689655,1.0,0.111111,0.896825,0.0,0.588889,0.0833333,3.89097,50014.0,27019.0,0.0549,0.3014,0.182,0.0
Bra032370,0,IV,-0.2827428559852827,-0.1554656620205084,-0.0619720806872529,0.1610975731188981,0.2294046687838807,0.7820582832489125,-0.2543406455780623,-0.3149144874187172,0.1905250350826876,0.2798779067662321,0.9579709484726818,51.00401606425703,39.41176470588236,3.08,381,0.0,0.0,1.0,0.0,0.2562,1.0,0.4950999999999998,1.0,0.0,0.462963,0.0,0.0,0.1016533916666666,0.0,0.0043650766666666,0.0153535254545454,0.00520833125,0.0,1.0,0.0,0.494444,0.0833333,0.111111,4.23665,48909.0,22389.0,0.1916,0.3024,0.6335,0.0
Bra032374,0,IV,0.0520019861976657,-0.0149088478536513,-0.241930349344846,-0.0081261162559381,0.6320090549556617,0.1906030094842989,-0.0634743021761515,-0.006005584004071,-0.2062524591655046,1.714435009150037,0.6430964996509587,43.376068376068375,47.647058823529406,3.08,1226,0.0,1.0,0.0,0.0,0.1635,1.0,0.40049999999999997,1.0,0.0,0.111111,0.2205127692307692,0.0462963333333333,0.0,0.005341882051282,0.001666668,0.013888875,0.0008771934210526,0.0,0.111111,0.0833333,0.0,0.0416667,0.111111,3.67481,57576.0,11141.0,0.0334,0.4723,0.0707,0.0
Bra032379,0,IV,-0.2601801245882802,0.6307606089916266,-0.4421431489008124,0.1421439398818461,-0.0609623026051662,0.5861257378821774,-0.2148835518865133,0.711949128192669,-0.1943606202361068,0.6280170825607695,0.9771787272871348,44.6875,35.294117647058826,3.06,454,0.0,0.0,0.0,1.0,0.0374,1.0,0.0009000000000000001,0.14,0.0130479857142857,0.0023148166666666,0.0046296261904761,0.0116995068965517,0.013888875,0.0060535372549019,0.0031045745098039,0.0038483833333333,0.0029258883802816,0.228571,0.0416667,0.111111,0.222222,0.0833333,0.111111,5.67691,715.0,28591.0,0.0312,0.372,0.0839,0.0
Bra032380,0,IV,-0.2896301581051904,-0.2154683832706478,0.275242409553521,0.0799371192214523,0.142296281153691,-0.1242010388685158,-0.276236946933693,0.0206069300487874,0.3153257711244445,2.360780496331372,0.2771415004664551,46.913580246913575,38.82352941176471,3.06,902,0.0,0.0,1.0,0.0,0.11,1.0,0.26175000000000004,1.0,0.0037037133333333,0.1134353928571428,0.0,0.0111111,0.0392063342857142,0.004166665,0.002962206741573,0.0096735219780219,0.0038395554054054,0.0555557,0.933333,0.111111,0.333333,0.111111,0.194444,5.67691,11425.0,17486.0,0.0879,0.3386,0.2595,0.0
Bra032392,0,IV,0.6568815583173743,0.1335747992706592,-0.1589370918389278,-0.1974395834768759,-0.1339958103220171,-0.4060278004299,0.522946835517696,0.2320440678613357,0.05176290301477,2.3810167501252075,0.277784413827285,44.24408014571949,44.11764705882353,3.02,0,0.0,0.0,1.0,0.0,0.0721,1.0,0.0,0.0,0.0,0.0,0.1701710145539906,0.0222222,0.0069444416666666,0.0045104175925925,0.00555555,0.0,0.004482418576779,0.0,0.0,0.111111,0.0833333,0.111111,0.0,3.89097,59515.0,26148.0,0.0807,0.2772,0.291,0.0
Bra032393,0,IV,-0.154253829192833,0.0120861862917214,0.5662559892217619,0.052335807877373,-0.2606514145685302,-0.321938401928772,-0.2884553681411205,-0.2194603258743386,0.6231768403506323,3.81723045521033,0.2902337297313438,53.072625698324025,37.05882352941177,3.02,1910,0.0,1.0,0.0,0.0,0.0,0.0,0.0387,0.92,0.0,0.0,0.0833333333333333,0.002604165625,0.0,0.0037037133333333,0.0047354476190476,0.0014124288135593,0.0043386213333333,0.0,0.0,0.0833333,0.0,0.111111,0.0833333,3.89097,73022.0,23092.0,0.0749,0.4664,0.1605,0.0
