gene_id,WGD,group,H3K27ac_down,H3K27ac_up,H3K27ac_genebody,H3K27me3_down,H3K27me3_up,H3K27me3_genebody,H3K4me3_down,H3K4me3_up,H3K4me3_genebody,avg_expression,tau,gene_cds_gc,promoter_gc,rec_rate,te_dist,TEGroup_1,TEGroup_2,TEGroup_3,TEGroup_4,TEdenseAvgUp,TEdenseMaxUp,TEdenseAvgDown,TEdenseMaxDown,CG_up_ave,CG_down_ave,CG_body_ave,CHG_up_ave,CHG_down_ave,CHG_body_ave,CHH_up_ave,CHH_down_ave,CHH_body_ave,CG_up_max,CG_down_max,CHG_up_max,CHG_down_max,CHH_up_max,CHH_down_max,summit_fold_enrichment,upstream_distance,downstream_distance,Ka,Ks,omega,location
Bra023201,0,II,-0.3463211191521852,0.0875071193546737,0.5350798955345183,-0.0003659020178395,-0.0767016771541016,-0.0755277641665915,-0.4856251754626058,-0.2974785554192293,0.2049917060191999,1.3415579384215464,0.4389063815813361,49.42528735632184,32.94117647058823,2.84,201,0.0,0.0,1.0,0.0,0.6516,1.0,0.3998999999999999,1.0,0.0,0.0,0.0,0.0277777666666666,0.00833333,0.0,0.0,0.001550388372093,0.0039682523809523,0.0,0.0,0.0833333,0.0833333,0.0,0.0666667,4.02482,2906.0,10455.0,0.1598,0.4904,0.3259,0.0
Bra023202,0,II,0.1041636761842888,-0.0340814884315505,0.1809485427487323,0.0576823889451277,0.0434593291793994,-0.1930148720030346,-0.2483548435008743,0.0047863743260356,0.0067426497905187,1.9931016306257103,0.7830780065932933,46.1996336996337,40.0,2.84,0,0.0,1.0,0.0,0.0,0.6118,1.0,0.5967999999999999,1.0,0.0,0.888889,0.039141409090909,0.0,0.3169312333333333,0.0099811644067796,0.0,0.0493827444444444,0.0037425627118644,0.0,0.916667,0.0,0.688889,0.0,0.377778,5.50765,39940.0,4847.0,0.0321,0.3567,0.0901,0.0
Bra023206,0,II,0.3306962392957978,1.009248632625877,0.2342807710354654,-0.2553281884813306,-0.1200262088004742,-0.3770135802602081,0.6625962641585704,0.5113800936332098,0.068590175589558,5.796981497821786,0.1598475926069882,53.84615384615385,31.76470588235294,2.83,262,0.0,0.0,0.0,1.0,0.0,0.0,0.079,0.94,0.0015432092592592,0.7359908863636364,0.0050926,0.0,0.3975469657534247,0.0,0.0035055647302904,0.0594859118577075,0.0006459965116279,0.0833333,1.0,0.0,1.0,0.111111,1.0,4.10714,50.0,620.0,0.0962,0.684,0.1406,0.0
Bra023213,0,II,-0.1700580490697312,0.0304623862119392,0.1281311154238271,-0.0083669640608354,-0.2576956339422235,-0.2356832625666909,-0.4156583913105492,0.5054682215815047,0.0184953667115741,5.151991775825304,0.2558796491765536,48.86300610094288,28.823529411764703,2.82,0,0.0,1.0,0.0,0.0,0.0,0.0,0.28109999999999996,1.0,0.0046052657894736,0.8434134358974361,0.0,0.0013605448979591,0.2347295074074074,0.0027272727272727,0.0015635675438596,0.0233799705426356,0.0026684297777777,0.0666667,1.0,0.0666667,0.944444,0.0666667,1.0,3.81299,303.0,690.0,0.0335,0.5769,0.058,0.0
Bra023217,0,II,-0.036022001737115,0.10667565687619,0.6184087085435395,0.279834305749238,-0.2021741670212888,-0.5259901459143783,0.0107979422146931,-0.0902194519963035,0.5596406615847818,3.89562840037716,0.292574914575885,46.19883040935672,38.23529411764706,2.81,97,0.0,1.0,0.0,0.0,0.16665,1.0,0.265,1.0,0.8437499375,0.3733426470588235,0.0,0.3325727874999999,0.109899424,0.0087719263157894,0.0345149739130434,0.0489316184615384,0.0012578622641509,1.0,1.0,0.75,0.555556,0.270085,0.527778,5.96276,5.0,8204.0,0.0591,0.4209,0.1405,0.0
Bra023219,0,II,0.1063493396065474,-0.4049303754137058,0.0730590261424141,-0.2486599166838801,-0.0672363205434748,-0.1250397714715159,-0.188631431211415,-0.2087506468978985,-0.3225520749783185,1.8381566663211024,0.4271251735793083,48.44054580896686,34.705882352941174,2.81,293,0.0,0.0,1.0,0.0,0.0,0.0,0.15715,1.0,0.0086279409090909,0.002583976744186,0.0030864185185185,0.0064102564102564,0.0042328023809523,0.0013440870967741,0.0018849194444444,0.0033648688405797,0.0033883528985507,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,6.66426,2852.0,2187.0,0.0335,0.4106,0.0817,0.0
Bra023226,0,II,0.1633828610701552,0.0233016937102515,0.2266997706686568,-0.0665549123287062,-0.0324424391875835,-0.1598721490416787,-0.0189978079600221,-0.069143796460409,-0.0166861935388062,0.2013454007803456,0.82450366520522,43.93939393939394,31.76470588235294,2.8,0,0.0,1.0,0.0,0.0,0.041299999999999996,0.94,0.31055,1.0,0.0,0.0,0.0,0.0,0.0,0.00814816,0.0064814933333333,0.0,0.0575281673913043,0.0,0.0,0.0,0.0,0.0555557,0.0,4.65937,24562.0,55268.0,0.0536,0.3472,0.1543,0.0
Bra023235,0,II,-0.2403237225861981,0.1882450425307782,0.8484316104962296,0.0474834515694703,-0.1203103793095382,-0.3999666170032179,-0.0533915454500878,0.0231400666788354,1.8895602285487776,4.630170476398101,0.4987864286670931,47.152428810720274,35.294117647058826,2.79,216,0.0,1.0,0.0,0.0,0.049499999999999995,0.95,0.41,1.0,0.0,0.2370369999999999,0.0035273333333333,0.0,0.0356009047619047,0.0018115934782608,0.0032407383333333,0.0440631920245398,0.003316259574468,0.0,0.896296,0.0,0.225397,0.111111,0.783333,4.66032,267.0,10492.0,0.026,0.4817,0.054,0.0
Bra023236,0,II,-0.2869621853304128,-0.4088361983744152,0.5367163199478636,-0.3575454433669189,-0.2073562734641235,-0.3061408973836094,-0.2823875710195712,-0.3918221665658064,1.251716675234507,2.4826800800353217,0.4850660286080508,46.66666666666666,44.11764705882353,2.79,0,0.0,1.0,0.0,0.0,0.3449999999999999,1.0,0.2925,1.0,0.0,0.0984573829268292,0.0082010476190476,0.0,0.1931731111111111,0.0050724652173913,0.0,0.0108860188087774,0.0049339559440559,0.0,1.0,0.0,0.888889,0.0,0.273504,4.10714,24.0,10362.0,0.0511,0.3322,0.1539,0.0
Bra023237,0,II,-0.5083670499587575,-0.0096143145703717,-0.110006091324581,-0.1718073205246179,-0.1444984884290366,0.1167037550628057,-0.5685445614278086,-0.3574234808130488,-0.264456060596218,0.1884508879836196,0.7554445761539946,44.75890985324947,33.52941176470588,2.79,421,0.0,0.0,0.0,1.0,0.19499999999999995,1.0,0.7384500000000002,1.0,0.443313485,0.694445,0.0024801607142857,0.1161435454545454,0.0,0.0035125710526315,0.00825793,0.0,0.0034959502824858,1.0,0.694445,0.660318,0.0,0.130952,0.0,4.66032,9653.0,13536.0,0.0513,0.5208,0.0984,0.0
