gene_id,WGD,group,H3K27ac_down,H3K27ac_up,H3K27ac_genebody,H3K27me3_down,H3K27me3_up,H3K27me3_genebody,H3K4me3_down,H3K4me3_up,H3K4me3_genebody,avg_expression,tau,gene_cds_gc,promoter_gc,rec_rate,te_dist,TEGroup_1,TEGroup_2,TEGroup_3,TEGroup_4,TEdenseAvgUp,TEdenseMaxUp,TEdenseAvgDown,TEdenseMaxDown,CG_up_ave,CG_down_ave,CG_body_ave,CHG_up_ave,CHG_down_ave,CHG_body_ave,CHH_up_ave,CHH_down_ave,CHH_body_ave,CG_up_max,CG_down_max,CHG_up_max,CHG_down_max,CHH_up_max,CHH_down_max,summit_fold_enrichment,upstream_distance,downstream_distance,Ka,Ks,omega,location
Bra038439,0,II,0.0178503634969208,-0.0642007541018145,0.3226282513248273,-0.0799934675654231,-0.0292617570654414,-0.2043184213535188,-0.0190222725856103,-0.1901944911933584,0.0939807591652492,4.262033406092057,0.2346974206860209,51.97132616487456,35.88235294117647,0.5,139,0.0,1.0,0.0,0.0,0.45399999999999996,1.0,0.48205000000000003,1.0,0.5903659444444443,0.0,0.0,0.2132143999999999,0.0,0.0,0.0230792557291666,0.0,0.0,1.0,0.0,0.434921,0.0,0.527778,0.0,5.26126,30082.0,8174.0,0.1131,0.5423,0.2086,0.0
Bra035521,0,II,-0.3582450837535482,-0.2284639605496548,0.008864880010985,0.0389108243017204,0.0048529317476663,-0.2447075320604426,-0.1478163205632215,-0.2610276032374633,-0.1346608941887338,1.0056228071268103,0.65461795354682,47.92899408284024,30.0,0.32,0,0.0,1.0,0.0,0.0,0.25849999999999995,1.0,0.6341,1.0,0.0625,0.4962001666666667,0.4286366956521739,0.0555555333333333,0.0968790769230769,0.1475170338235293,0.0295781348993288,0.0216952721153846,0.0263709516795865,1.0,1.0,0.833333,0.916667,1.0,0.85,4.55976,7972.0,263.0,0.049,0.3919,0.1251,0.0
Bra035516,0,II,0.0312289782371567,0.7944773530156997,0.4489781183189253,-0.0831369473138723,-0.1267464808314528,-0.4237322129965503,-0.0328270002717371,1.2602422002557083,0.9646103990246964,3.5703645532985835,0.5072738965388848,47.56944444444444,32.35294117647059,0.31,760,0.0,0.0,1.0,0.0,0.13149999999999998,1.0,0.6011,1.0,0.0,0.5982737850000001,0.0,0.0138888833333333,0.1065475,0.0059523785714285,0.0036218073170731,0.0386552558441558,0.0017543868421052,0.0,1.0,0.0833333,0.35119,0.0833333,0.477778,5.34297,1055.0,21479.0,0.0127,0.3367,0.0377,0.0
Bra035512,0,II,0.1182628332354679,-0.3346911810783797,0.1240323084277623,-0.3085242898946776,-0.0705371119679972,-0.4465081547757458,0.003159366785118,0.0418986173407763,0.4056695251324271,4.179099658522181,0.3592188463141929,46.59340659340659,31.76470588235294,0.29,1077,0.0,1.0,0.0,0.0,0.0296,0.95,0.0,0.0,0.0,0.0095238142857142,0.1808035812499999,0.0,0.0,0.0069444416666666,0.004629625,0.0093567210526315,0.0028058383838383,0.0,0.0666667,0.0,0.0,0.111111,0.111111,5.50765,5314.0,36373.0,0.0617,0.368,0.1678,0.0
Bra035486,0,II,0.0273338874868057,0.0022297974831439,1.298946588301074,-0.2352992015242631,-0.1415359776138208,-0.2102910885136187,-0.182835478343197,-0.1320592971349137,1.930479369571248,5.038942146399236,0.4796906972091703,47.1057884231537,41.76470588235294,0.23,209,0.0,0.0,1.0,0.0,0.42300000000000004,1.0,0.1368,1.0,0.6336835294117648,0.0,0.002849,0.25821425,0.0032051307692307,0.0036764705882352,0.0458280682539682,0.0022408960784313,0.0023447920863309,1.0,0.0,0.722222,0.0416667,0.888889,0.0666667,3.38932,2820.0,185.0,0.0342,0.2496,0.1369,0.0
Bra036758,0,II,-0.0021190854718152,0.0812031786887376,0.4438527675325611,-0.4194198531119429,-0.1101141551270633,-0.352449541850425,0.1302346187359281,0.1001547359873969,0.547318454241327,2.9899215398610384,0.1245376568371876,45.25993883792049,40.588235294117645,0.15,1713,0.0,0.0,0.0,1.0,0.0,0.0,0.102,1.0,0.1983091586956521,0.1674461607142857,0.1045414166666666,0.0178655680851063,0.063148675949367,0.0023504307692307,0.0044620242236024,0.0210886445378151,0.0032592071065989,1.0,1.0,0.333333,0.822222,0.111111,0.688889,5.96276,8404.0,13438.0,0.0954,0.4225,0.2258,0.0
Bra036761,0,II,-0.1538440913449876,-0.0187052934274463,0.0854463333838436,-0.2643998050143981,-0.3666935649346163,-0.2525465282363127,-0.6318238266539435,0.3404221503384571,-0.1270928767110508,3.1516346852044954,0.2633509153740648,50.36231884057971,26.47058823529412,0.14,285,0.0,0.0,0.0,1.0,0.00255,0.27,0.0441,0.91,0.1046095152173913,0.7205470487804875,0.0,0.0243055406249999,0.3105584514705883,0.0012437805970149,0.0051649968421052,0.0703637812316715,0.001041666826923,1.0,1.0,0.694444,1.0,0.222222,0.888889,5.96276,20316.0,6682.0,0.0477,0.7428,0.0643,0.0
Bra036764,0,II,-0.0175542384809861,-0.2144217514616529,0.4441428268195637,-0.1243157172055187,0.0752347937896678,-0.1813703031101698,-0.2773457763488114,-0.2279341340543184,0.4907881435637941,6.536697112940376,0.1044093369627306,47.27463312368973,34.11764705882353,0.14,175,0.0,0.0,1.0,0.0,0.35700000000000004,1.0,0.6891499999999999,1.0,0.0141568307692307,0.7598585625000002,0.0036231891304347,0.020822165079365,0.3319665388888889,0.0010683788461538,0.0045548696485623,0.083108185576923,0.0033532557768924,0.222222,1.0,0.314286,0.916667,0.103175,0.869048,3.45864,273.0,43524.0,0.0347,0.3704,0.0936,0.0
Bra014022,0,II,-0.3299174748599349,0.1298942894314205,0.0798596345990806,-0.192066305398824,0.1622208129941838,-0.2393442831156926,-0.3525865200600438,0.1426595163179714,0.0784947684893774,3.431380458832516,0.2757539647582937,44.44444444444444,42.35294117647059,1.16,648,0.0,0.0,0.0,1.0,0.306,1.0,0.0867,1.0,0.3475440566666667,0.1732495897435897,0.0795607659090909,0.2374510869565217,0.0828138839285714,0.0023615348623853,0.0914465781818181,0.0344490416058394,0.0040496105263157,1.0,1.0,0.916667,0.933333,0.777778,0.571429,5.18796,1126.0,108437.0,0.067,0.3835,0.1746,0.0
Bra014055,0,II,-0.1949824835940431,-0.5243312212894844,-0.1084833274151757,0.4367764224430109,0.2228363256886035,0.9870522742140612,0.0607404797461797,-0.4131672188771492,-0.1050985700713694,3.0835876763811045,0.7108372203848276,45.47803617571059,28.235294117647054,2.09,1309,0.0,0.0,0.0,1.0,0.09999999999999998,1.0,0.22995000000000004,1.0,0.1619882894736842,0.0199314636363636,0.0162986777777777,0.0481222630434782,0.0438479019607843,0.0047178166666666,0.0091811653846153,0.0056728406666666,0.0039760861842105,1.0,0.754762,0.342593,0.7,0.325397,0.205556,4.25421,53.0,653.0,0.0692,0.3456,0.2003,0.0
