Maize,location,group,GC_genic,GC_prom,avg_expression,tau,Ka,Ks,O,acr_Lup,acr_Ldown,acr_S,recomb,CHH_up_avg,CHH_down_avg,CHH_body_avg,CHG_up_avg,CHG_down_avg,CHG_body_avg,CG_up_avg,CG_down_avg,CG_body_avg,CHH_up_max,CHH_down_max,CHG_up_max,CHG_down_max,CG_up_max,CG_down_max,TEdist,TEdenseAvgUp,TEdenseAvgDown,TEdenseMaxUp,TEdenseMaxDown,TE1,TE2,TE3,TE4,H2AZ_down,H3K4me1_down,H3K4me3_down,H3K9ac_down,H3K27ac_down,H3K27me3_down,H3K36me3_down,H3K56ac_down,H2AZ_genebody,H3K4me1_genebody,H3K4me3_genebody,H3K9ac_genebody,H3K27ac_genebody,H3K27me3_genebody,H3K36me3_genebody,H3K56ac_genebody,H2AZ_up,H3K4me1_up,H3K4me3_up,H3K9ac_up,H3K27ac_up,H3K27me3_up,H3K36me3_up,H3K56ac_up,WGD
Zm00001d039254,1.0,III,0.652582,0.53,0.0218601955495389,0.9145867212320375,0.0561,0.1365,0.4108,11610.0,24513.0,10.072,10.23,0.135,0.015,0.0,0.62,0.75,0.0,0.79,0.86,0.0,0.35085,0.14165,0.9125,1.0,1.0,1.0,395,0.8255000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0988945803572318,-0.0241604707606934,-0.0065817964721805,0.0177455230786316,0.025640784855881,0.2971113182495787,-0.0877338289537428,-0.0186573747779899,0.357946844758046,0.1722324855845966,0.6696352143604164,0.0288840839306934,0.2076881997324978,0.6871390998527486,-0.0661913744032346,0.1808431992807693,0.0982299998271614,0.0242069563340121,0.0644978676467798,0.0058631475080219,0.0501695150453811,0.1298848166504688,-0.0212045236030015,0.0559659082737481,0
Zm00001d039258,1.0,III,0.533333,0.71,3.837433579341477,0.6705192804556863,0.0375,0.1142,0.3286,69.0,447.0,13.9065,10.14,0.02,0.015,0.0,0.64,0.16,0.005,0.7749999999999999,0.5449999999999999,0.10500000000000001,0.21944999999999998,0.17804999999999999,1.0,0.94445,1.0,1.0,749,0.14,0.08130000000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.2096246749296423,0.3566428296700648,0.8249803232759414,0.2097758469241804,0.5255432805449376,-0.0025925306864976,0.759643473364947,0.6161775805525999,0.2652437905986288,0.3124221816217996,0.6741679308553548,0.1291480780268698,0.307438644106926,0.0455466467656011,0.7544568011415914,0.1711796154637414,-0.018422670660512,-0.0766685132452609,-0.0378667341044779,-0.0482255178373441,-0.0255981502163622,-0.0239173141660422,-0.0897816466653977,-0.0262918071335137,0
Zm00001d039259,1.0,III,0.539352,0.55,2.068469072048432,0.6423000705321295,0.0349,0.1419,0.246,59.0,601.0,13.9065,10.13,0.055,0.0,0.01,0.54,0.0,0.155,0.715,0.08,0.485,0.36324999999999996,0.0382,1.0,0.046299999999999994,1.0,0.7125,0,0.3789999999999999,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1878528808301064,0.3586667131451684,0.2696037386568969,0.071758205079829,0.1923305196212859,0.0072830467248094,0.6187533321172182,0.0206162108425102,0.1489101367933546,0.3596713602092984,0.4656669172861066,0.1114000070238875,0.3814989057693505,-0.0114486847431063,0.5134272416317943,0.3789981302910246,0.1024856780018653,-0.0983695240034537,-0.0123744585787247,-0.0657349176766102,0.0087169223008527,0.0207584284036194,-0.078924489312628,-0.0315589393001143,0
Zm00001d039263,1.0,III,0.62585,0.55,4.503091537120096,0.2523803227629053,0.0146,0.3214,0.0453,147.0,2286.0,21.0632,10.08,0.03,0.0,0.0,0.09,0.0,0.0,0.225,0.055,0.18,0.31535,0.02085,0.7292000000000001,0.0,0.95835,0.58335,3240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2060105634105022,0.2486052590572539,0.612159182445549,0.1757348758241259,0.5000320111897787,-0.00917348791894,0.7383352541682477,0.3778803907190154,0.0542918373595763,0.2060905295005712,0.7188158662311781,0.2451436463529439,0.3911937149767291,0.0243680425355442,0.8644732631951563,0.243388300974561,0.32710699980741,0.0939079754967203,0.630221570210775,0.064597314486838,0.2404017665999389,0.0022814517725507,0.055185327462415,0.2480976383909582,0
Zm00001d039265,1.0,III,0.540741,0.55,1.1914379684626393,0.5743343767919543,0.1708,0.1512,1.1298,53175.0,5377.0,23.4663,10.02,0.015,0.0,0.01,0.235,0.0,0.065,0.5549999999999999,0.43999999999999995,0.435,0.16920000000000002,0.02025,0.9271,0.0,1.0,1.0,1699,0.20600000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2626693416083439,0.6787114016533833,0.2735154698923531,0.0020079877470724,0.2723059966547363,-0.0266439886539275,0.9209882893654486,0.1002446023327224,0.1454936450864836,0.7248158570606066,0.2916390053930287,0.0241711073393692,0.1419918771134995,-0.012913150184043,0.9095311138426012,0.0580613953042468,0.3778218897305829,0.1062820668487302,0.1006598116094128,0.019510806446315,0.1921623820387863,-0.0300891448805011,-0.0767323170473584,0.2223687998983606,0
Zm00001d039271,1.0,III,0.544571,0.65,3.2665274338659707,0.1932196194124756,0.0206,0.1843,0.1117,1570.0,13321.0,145.25,9.96,0.055,0.01,0.0,0.20500000000000002,0.575,0.005,0.405,0.72,0.735,0.54905,0.13540000000000002,1.0,1.0,1.0,1.0,11625,0.0,0.0725,0.0,1.0,0.0,0.0,1.0,0.0,-0.0109213175263842,0.3602465418839909,0.0113684865622242,0.0178935632744684,-0.018872363698971,0.0108720963070787,0.3226025459055909,-0.0237353210977747,0.0125252218675539,0.798530338831537,0.2268090820161051,0.1991564351260206,0.2827285748644628,0.0275376349317967,0.8496766268799216,0.0881022834383676,0.0647825516164738,0.1587879286312186,0.786348477044951,0.248136582709233,0.5484140125092903,0.0932999916424588,0.553409695687055,0.5554874497942519,0
Zm00001d039283,1.0,III,0.570537,0.55,5.074492208114429,0.3957917200261643,0.137,0.0725,1.8897,336.0,15613.0,56.4924,9.86,0.04,0.01,0.02,0.245,0.63,0.05,0.4,0.7,0.05500000000000001,0.40705,0.18075,1.0,1.0,1.0,1.0,2558,0.1775,0.2555,1.0,1.0,1.0,0.0,0.0,0.0,-0.0958836334218957,-0.1122915205069316,-0.1117111463244529,-0.0564994710017583,-0.1229765986786164,-0.0672770406587157,-0.1512862928476792,-0.0852834718464227,0.7270067864519727,0.231589758798196,0.5704455451935083,0.1953237906490247,0.5309781068214038,-0.0010917697818685,0.048273174483126,0.2775873155943507,0.2569376666960552,-0.0774068442573558,-0.0845071618142959,-0.0078347636911313,0.1093784091688533,0.0363136376123776,-0.1114659472023331,-0.0039031405846227,0
Zm00001d039284,1.0,III,0.501507,0.39,4.84687965532182,0.2398690373147346,0.0265,0.1701,0.1559,9760.0,3552.0,20.1441,9.85,0.02,0.0,0.0,0.755,0.0,0.01,0.85,0.36,0.625,0.1548,0.03275,1.0,0.0625,1.0,1.0,6873,0.098,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.045508406198156,0.1731347798629124,1.0114032442137488,0.3950484849699543,0.6507890573229732,-0.021280712440568,0.6166424670624354,0.6817460174512026,0.0047141920471736,0.696502567614519,0.4419333121578309,0.0919185369120914,0.2966661896150829,0.0151668005346777,1.201290269407992,0.2103074550031045,-0.0693896612854487,-0.1110546234918481,-0.0751238512102749,-0.0169264873148263,-0.0739325173127,-0.0303483685429668,-0.1011107983398942,-0.0373542398044178,0
Zm00001d039285,1.0,III,0.481892,0.65,4.114726873885277,0.2388188748267631,0.0595,0.1799,0.3307,12.0,14761.0,20.1441,9.84,0.07,0.005,0.0,0.1,0.01,0.0,0.28500000000000003,0.525,0.405,0.75515,0.12000000000000001,0.9578,0.23255,1.0,1.0,3309,0.18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0170965493019073,0.4000321802000733,-0.017403631683243,0.0141603359919819,0.1349008340228188,0.0173189035985414,0.4878560728121272,0.0092981851333045,0.0649405069264279,0.4866611008771504,0.7283180693963552,0.3359522564205703,0.5891681624182646,0.0181324422807717,0.8269442887564324,0.4855768942673747,0.1347518844447018,0.0211028639524382,0.2294238389490133,0.0705641674403955,0.2660698781852986,-0.0377495972635316,0.0218962443541343,0.273481164066703,0
Zm00001d039287,1.0,III,0.459486,0.38,2.901395790008159,0.2638083427319195,0.0356,0.1058,0.3366,77.0,37581.0,9.10026,9.8,0.03,0.015,0.0,0.755,0.585,0.005,0.875,0.755,0.725,0.38675,0.18874999999999997,1.0,1.0,1.0,1.0,188,0.0245,0.3104999999999999,0.49,1.0,1.0,0.0,0.0,0.0,-0.0248432513131802,-0.0556386281641653,-0.0937700047192731,-0.0381721949682116,0.0392556383800017,-0.0466330623494434,-0.0791859060848976,-0.0530228033206892,-0.1158374261586578,1.113652247090662,0.3045834906210505,0.0379564603424559,0.2118508111933462,-0.0824269347178141,1.6476983041053757,0.0719837076667958,-0.0077734040879055,-0.0442346423234488,-0.0427072786933713,0.0140595982292785,0.02853431025466,0.0087503850184223,-0.0834602732045602,-0.0272205103711181,0
