Maize,location,group,GC_genic,GC_prom,avg_expression,tau,Ka,Ks,O,acr_Lup,acr_Ldown,acr_S,recomb,CHH_up_avg,CHH_down_avg,CHH_body_avg,CHG_up_avg,CHG_down_avg,CHG_body_avg,CG_up_avg,CG_down_avg,CG_body_avg,CHH_up_max,CHH_down_max,CHG_up_max,CHG_down_max,CG_up_max,CG_down_max,TEdist,TEdenseAvgUp,TEdenseAvgDown,TEdenseMaxUp,TEdenseMaxDown,TE1,TE2,TE3,TE4,H2AZ_down,H3K4me1_down,H3K4me3_down,H3K9ac_down,H3K27ac_down,H3K27me3_down,H3K36me3_down,H3K56ac_down,H2AZ_genebody,H3K4me1_genebody,H3K4me3_genebody,H3K9ac_genebody,H3K27ac_genebody,H3K27me3_genebody,H3K36me3_genebody,H3K56ac_genebody,H2AZ_up,H3K4me1_up,H3K4me3_up,H3K9ac_up,H3K27ac_up,H3K27me3_up,H3K36me3_up,H3K56ac_up,WGD
Zm00001d030026,0.0,II,0.464854,0.51,3.732505402517344,0.2017913263288833,0.0161,0.0902,0.178,529645.0,77.0,5.2658,0.43,0.04,0.055,0.01,0.73,0.18,0.345,0.76,0.24,0.82,0.41864999999999997,0.72915,1.0,0.9243,1.0,1.0,0,0.185,0.24250000000000005,1.0,1.0,0.0,0.0,1.0,0.0,0.0180934823179696,-0.0493929275171753,0.2722028135417382,0.4989653718428531,0.9635406357778032,0.0238241127007183,-0.040953746860954,0.587322418206956,-0.2155536014432094,1.726515673938648,0.1844151685480814,0.0359231085899345,0.218212342213453,-0.0720928299712484,2.024773509294116,-0.0599162521513754,-0.1228232466465865,-0.1567409443400979,-0.0744506919617663,-0.0618793796029646,-0.0482245184048594,-0.1110504835625265,-0.1637116588761306,-0.0533313226516992,0
Zm00001d030031,0.0,II,0.497934,0.388235,3.847650044736552,0.2915544013628702,0.0316,0.1202,0.2631,127927.0,325112.0,26.3817,0.42,0.045,0.01,0.015,0.8049999999999999,0.41000000000000003,0.08499999999999999,0.92,0.5700000000000001,0.575,0.49134999999999995,0.12095,1.0,1.0,1.0,1.0,1267,0.5995,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0580092400057073,-0.0568009874889302,-0.0600472349446016,-0.0342540107004526,-0.0502552637737285,-0.0279375871469032,-0.0723101653696692,-0.0505200132616953,0.4593704661035597,0.6795809268753998,0.4028784544314535,0.2796209994072265,0.6615644471367341,-0.023967047195101,0.6553129985308772,0.4763402744008301,-0.0356602788863421,-0.0410502619624645,-0.0257336956121782,0.0035536945634482,0.0345941335536879,-0.0407491539490474,-0.059244782214365,0.0241986165340846,0
Zm00001d030032,0.0,II,0.713725,0.54,1.1619996626571285,0.6537471656048591,0.0451,0.7953,0.0567,379543.0,76415.0,20.6036,0.42,0.02,0.05,0.0,0.27,0.6599999999999999,0.0,0.25,0.7,0.0,0.38780000000000003,0.33185,1.0,1.0,1.0,1.0,2503,0.044500000000000005,0.17350000000000002,1.0,1.0,0.0,0.0,1.0,0.0,-0.0438356587050325,-0.0473166268845459,-0.0490554876803481,-0.0213456000937015,-0.0395082313443874,-0.0239921124199769,-0.0661259597552646,-0.0269255996065196,0.2933694070208844,0.0513026215291961,0.7396677803451073,0.2911506515543069,0.4348072796605621,0.0298338279596802,0.065388420953412,0.3993122601543276,0.3739103646809317,-0.0576574557527915,0.0143472345663141,0.1442738511359293,0.3988716520684604,0.0311923223353958,-0.1233974470009201,0.3077751477605818,0
Zm00001d030040,0.0,II,0.597592,0.55,2.530388164571604,0.3695236309805903,0.0232,0.1425,0.1631,115.0,124522.0,13.9065,0.41,0.015,0.04,0.005,0.715,0.405,0.005,0.825,0.63,0.48,0.09720000000000001,0.47914999999999996,1.0,1.0,1.0,1.0,0,0.4779999999999999,0.27449999999999997,1.0,1.0,0.0,0.0,1.0,0.0,0.2499315873479653,0.0739148660415474,-0.0033042711026131,0.0734333065654299,0.2416906336815481,-0.0026920804671913,-0.0406333890623861,0.1042865818965407,0.3315462264515945,0.2004003035448648,1.0560503058995951,0.2748364498902059,0.5995002607774121,-0.0009182662863977,0.5429072178632731,0.6912771187500941,-0.0708371564904086,-0.08568373673482,-0.0496482827254273,-0.0684418153347859,-0.0552555406122269,-0.0661315103515037,-0.0895018757780045,-0.0600077767898114,0
Zm00001d030053,0.0,II,0.636364,0.41,2.4221286899055325,0.5564382233030021,0.0281,0.0861,0.3267,13589.0,382843.0,39.2638,0.39,0.01,0.015,0.0,0.425,0.645,0.0,0.53,0.76,0.065,0.05184999999999999,0.18665,1.0,1.0,1.0,1.0,12713,0.9705000000000001,0.056499999999999995,1.0,1.0,1.0,0.0,0.0,0.0,-0.0263153159000106,-0.0265497394419111,-0.0319897807823272,0.0018398737425117,-0.0367347246848114,-0.006380793876854,-0.0352544383877035,-0.0526108949139276,0.4551613482124685,0.3701292887049408,0.5955827887362447,0.3645467830795175,0.8851603867319413,-0.0004008869872719,0.4937339684443588,0.6686526904687172,0.3121234354286567,-0.0694514155327917,-0.0520046807143559,-0.0452184242292053,0.0611609824945016,-0.0727764486414061,-0.1370192146940954,0.0075567458060402,0
Zm00001d030061,0.0,II,0.413333,0.34,1.9754738183342568,0.3549640544830792,0.0653,0.1209,0.5401,364276.0,23122.0,8.6407,0.38,0.035,0.045,0.0,0.73,0.63,0.175,0.855,0.77,0.7,0.22775,0.32794999999999996,1.0,1.0,1.0,1.0,0,0.0,0.5245000000000002,0.0,1.0,1.0,0.0,0.0,0.0,-0.0067029409825929,-0.0136399665666796,-0.0231857949241708,3.622855104843704e-05,-0.012028483030289,-0.0017573970851308,-0.0241179921705072,-0.0087715585561382,-0.1327028250016066,1.3019807119682334,0.1944219126280243,0.055853645252103,0.2130353473488944,-0.0908505391359121,1.7185912402437733,0.0553505435358516,-0.0086162277969794,-0.0567819636596472,0.0265168065751696,0.0649576352242064,0.1041347330420468,-0.0277239244184634,-0.0153038308678879,0.092204566328714,0
Zm00001d030062,0.0,II,0.51954,0.552941,0.4619402153214869,0.6118393047720251,0.0336,0.1134,0.2963,312547.0,206797.0,8.6407,0.37,0.01,0.025,0.035,0.79,0.69,0.425,0.9,0.835,0.72,0.1125,0.26145,1.0,1.0,1.0,1.0,0,0.019999999999999997,0.5905,0.4,1.0,0.0,0.0,1.0,0.0,-0.0624329763293017,0.251217107297965,-0.032376324470277,-0.0420200298592388,-0.0710024318542048,-0.0429952990590058,0.1143164783499546,-0.054597193085686,0.2408728981361999,0.4406581280853219,0.1413251041393337,0.0665318239632016,0.3128923611818874,-0.0392052221982029,0.3300099417880654,0.2290909583903049,-0.024293212105033,-0.0438195872307569,-0.0672697515719073,-0.0094260030603376,-0.0482464235841278,-0.0172337734447948,-0.0681123955892722,-0.0508995694453754,0
Zm00001d030023,0.0,II,0.687016,0.59,0.2497210137119746,0.7221504143178773,0.0882,0.3002,0.2938,301667.0,259233.0,5.2658,0.43,0.025,0.05,0.0,0.375,0.58,0.0,0.575,0.615,0.0,0.32875,0.50345,1.0,1.0,1.0,1.0,2478,0.23800000000000002,0.28590000000000004,1.0,1.0,0.0,0.0,1.0,0.0,-0.0386415443140069,-0.0478645296550626,-0.0433653948079004,-0.0213514668793816,-0.0379689329459056,-0.013940919397409,-0.063780268667066,-0.0449826760804056,0.5093779840461059,0.2078827433658887,0.3840481238265035,0.1522813467398235,0.2341519391075755,0.4419113432924383,-0.0268032117282848,0.1439056957044487,0.2699204943594968,-0.0494485492126522,-0.0175938248774485,0.0626414430393048,0.1136107252303451,0.3086927842752336,-0.1037638802232781,0.015353497150024,0
Zm00001d030021,0.0,II,0.525692,0.62,2.363524137030481,0.4662272701793812,0.0095,0.1352,0.0703,1288.0,556624.0,63.295,0.44,0.095,0.04,0.0,0.515,0.55,0.01,0.625,0.6,0.47,0.69495,0.41664999999999996,1.0,1.0,1.0,1.0,1421,0.0325,0.623,0.65,1.0,0.0,0.0,1.0,0.0,-0.0258893974984225,-0.0231429687577894,-0.029618115221987,-0.008731889189104,-0.0268740018152896,-0.0081305511616233,-0.0389299176581164,-0.0237144145715625,0.204690864418728,0.6496585171836684,0.4866520743404151,0.1171300675715571,0.3653103847389982,-0.007251736674364,0.8934867948078205,0.2415746792280235,0.1201324624569267,-0.1112666483438872,-0.0617498730570255,-0.0480343265079971,0.0428281398765231,-0.0193039835909288,-0.116086785923717,-0.0195490011391266,0
Zm00001d030020,0.0,II,0.486819,0.67,5.681794267828053,0.3110059662894587,0.0123,0.0895,0.1375,11.0,133630.0,32.1071,0.44,0.01,0.025,0.0,0.01,0.46499999999999997,0.005,0.14,0.73,0.5,0.1335,0.2689,0.2119,1.0,0.9472,1.0,1387,0.0,0.4805,0.0,1.0,0.0,0.0,1.0,0.0,-0.0345200828107673,-0.0249546048267482,-0.0111492487246439,-0.0063951549193201,-0.0415695168873918,0.0148350751822829,-0.0594332967504421,-0.0218946051419901,0.1230688852977369,0.7415924689255993,0.5902161538981359,0.0762177751089478,0.2720231268579205,-0.047584418057547,1.1297761643893502,0.1393165437472434,0.3527651715295087,0.3487151203461435,0.0427631990307757,0.0573896494660315,0.3346884320961936,0.0172349962953699,0.2839065096767276,0.1186996245583321,0
